Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
11,Ragnar Ache\dc38e3bc,de GER,ATMT,Eint Frankfurt,de Bundesliga,23-149,1998,1.3,0,7,1,14.3,5.58,0.80,0.00,0.00,14.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matchs
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-057,1991,11.1,1,7,4,57.1,0.63,0.36,0.14,0.25,21.8,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matchs
13,Che Adams\f2bf1b0f,sct SCO,AT,Southampton,eng Premier League,25-164,1996,9.5,3,21,11,52.4,2.20,1.15,0.14,0.27,14.5,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matchs
14,Tyler Adams\2b09d998,us USA,MT,RB Leipzig,de Bundesliga,22-313,1999,8.9,0,1,0,0.0,0.11,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matchs
15,Sargis Adamyan\22919e97,am ARM,ATMT,Hoffenheim,de Bundesliga,28-215,1993,3.7,1,3,2,66.7,0.82,0.55,0.33,0.50,16.7,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matchs
16,Martin Adeline\7587446d,fr FRA,AT,Reims,fr Ligue 1,18-022,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
17,Amine Adli\dcfb17f4,fr FRA,ATMT,Leverkusen,de Bundesliga,21-228,2000,8.9,2,16,10,62.5,1.81,1.13,0.13,0.20,15.8,0,0,0,1.2,1.2,0.08,+0.8,+0.8,Matchs
18,Yacine Adli\26777636,fr FRA,MTAT,Bordeaux,fr Ligue 1,21-148,2000,14.5,1,17,8,47.1,1.17,0.55,0.06,0.13,21.5,4,0,0,1.3,1.3,0.08,-0.3,-0.3,Matchs
19,Felix Afena-Gyan\0154d290,gh GHA,ATMT,Roma,it Serie A,18-339,2003,1.8,2,8,4,50.0,4.34,2.17,0.25,0.50,14.0,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matchs
20,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-228,1996,11.6,0,4,0,0.0,0.34,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
21,Julen Agirrezabala\a2c1a8d3,es ESP,GB,Athletic Club,es La Liga,20-363,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
22,Lucien Agoume\8bc8829a,fr FRA,MT,Brest,fr Ligue 1,19-318,2002,9.9,0,7,0,0.0,0.71,0.00,0.00,,12.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matchs
23,Kevin Agudelo\46fa7204,co COL,ATMT,Spezia,it Serie A,23-040,1998,2.1,0,3,1,33.3,1.41,0.47,0.00,0.00,19.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
24,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-269,1996,17.9,2,17,5,29.4,0.95,0.28,0.12,0.40,8.2,0,0,0,1.4,1.4,0.08,+0.6,+0.6,Matchs
25,Sergio Agüero\4d034881,ar ARG,AT,Barcelona,es La Liga,33-205,1988,1.7,1,6,1,16.7,3.58,0.60,0.17,1.00,12.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matchs
26,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-242,1993,11.1,0,2,1,50.0,0.18,0.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
