Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
2045,Giorgio Scalvini\1e9aa637,it ITA,DFMT,Atalanta,it Serie A,18-013,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2046,Gianluca Scamacca\8790f988,it ITA,AT,Sassuolo,it Serie A,22-357,1999,10.2,6,40,16,40.0,3.94,1.58,0.15,0.38,15.7,0,0,0,4.5,4.5,0.11,+1.5,+1.5,Matchs
2047,Kevin Schade\52afb588,de GER,ATMT,Freiburg,de Bundesliga,20-027,2001,6.4,2,15,6,40.0,2.33,0.93,0.13,0.33,12.0,0,0,0,1.4,1.3,0.09,+0.6,+0.7,Matchs
2048,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,eng Premier League,30-004,1991,7.8,0,4,0,0.0,0.51,0.00,0.00,,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matchs
2049,Louis Schaub\b50ec54b,at AUT,MTAT,Köln,de Bundesliga,26-360,1994,3.1,1,5,1,20.0,1.60,0.32,0.20,1.00,18.8,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matchs
2050,Andrea Schiavone\4b55eb4d,it ITA,MT,Salernitana,it Serie A,28-304,1993,5.0,1,2,1,50.0,0.40,0.20,0.50,1.00,10.5,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matchs
2051,Patrik Schick\5d4f7d61,cz CZE,AT,Leverkusen,de Bundesliga,25-334,1996,12.1,16,44,23,52.3,3.65,1.91,0.34,0.65,13.0,1,1,1,10.2,9.4,0.22,+5.8,+5.6,Matchs
2052,Kingsley Schindler\bd527260,de GER,DFMT,Köln,de Bundesliga,28-165,1993,2.0,0,1,0,0.0,0.49,0.00,0.00,,14.0,0,0,0,0.4,0.4,0.36,-0.4,-0.4,Matchs
2053,Xaver Schlager\8f056768,at AUT,MT,Wolfsburg,de Bundesliga,24-087,1997,2.6,0,2,0,0.0,0.76,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
2054,Keven Schlotterbeck\f6bdc830,de GER,DF,Freiburg,de Bundesliga,24-240,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2055,Nico Schlotterbeck\34e12499,de GER,DF,Freiburg,de Bundesliga,22-023,1999,16.2,2,23,10,43.5,1.42,0.62,0.09,0.20,11.4,0,0,0,2.0,2.0,0.09,0.0,0.0,Matchs
2056,Jeffrey Schlupp\3312f911,gh GHA,MTAT,Crystal Palace,eng Premier League,29-001,1992,4.4,1,8,1,12.5,1.82,0.23,0.13,1.00,12.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matchs
2057,Kasper Schmeichel\53af52f3,dk DEN,GB,Leicester City,eng Premier League,35-049,1986,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2058,Jonathan Schmid\088ca1bd,fr FRA,DF,Freiburg,de Bundesliga,31-181,1990,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,16.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
2059,Benno Schmitz\ad00b1a8,de GER,DF,Köln,de Bundesliga,27-037,1994,15.0,0,8,1,12.5,0.53,0.07,0.00,0.00,22.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matchs
2060,David Schnegg\1c341b14,at AUT,DF,Venezia,it Serie A,23-086,1998,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2061,Morgan Schneiderlin\51b41c5c,fr FRA,MT,Nice,fr Ligue 1,32-046,1989,1.9,0,2,0,0.0,1.05,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matchs
2062,Alessandro Schöpf\106bca06,at AUT,MT,Arminia,de Bundesliga,27-320,1994,14.2,0,23,4,17.4,1.61,0.28,0.00,0.00,20.5,2,0,0,1.6,1.6,0.07,-1.6,-1.6,Matchs
2063,Jerdy Schouten\2cfae697,nl NED,MT,Bologna,it Serie A,24-346,1997,1.3,0,1,0,0.0,0.78,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
2064,Nico Schulz\fa274d97,de GER,DF,Dortmund,de Bundesliga,28-267,1993,6.5,0,3,2,66.7,0.46,0.31,0.00,0.00,14.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matchs
2065,Marvin Schwäbe\87436846,de GER,GB,Köln,de Bundesliga,26-243,1995,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2066,Alexander Schwolow\0d55d942,de GER,GB,Hertha BSC,de Bundesliga,29-205,1992,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2067,Valentino Scotta\98529579,es ESP,DF,Sevilla,es La Liga,20-136,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2068,Aleksandar Sedlar\a35134ae,rs SRB,DFMT,Mallorca,es La Liga,30-011,1991,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2069,Paul Seguin\8872ed17,de GER,MT,Greuther Fürth,de Bundesliga,26-270,1995,14.0,0,9,2,22.2,0.64,0.14,0.00,0.00,20.6,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matchs
2070,Alidu Seidu\cea59f02,ci CIV,DFAT,Clermont Foot,fr Ligue 1,21-203,2000,1.6,0,4,1,25.0,2.55,0.64,0.00,0.00,13.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matchs
2071,Davie Selke\1238a3f9,de GER,AT,Hertha BSC,de Bundesliga,26-338,1995,4.5,1,10,5,50.0,2.24,1.12,0.10,0.20,10.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matchs
2072,Matz Sels\834b5c4c,be BEL,GB,Strasbourg,fr Ligue 1,29-301,1992,18.0,0,2,0,0.0,0.11,0.00,0.00,,13.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
2073,Ken Sema\1770bd68,se SWE,MTAT,Watford,eng Premier League,28-085,1993,3.4,0,1,0,0.0,0.30,0.00,0.00,,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matchs
2074,Nélson Semedo\d04b94db,pt POR,DF,Wolves,eng Premier League,28-038,1993,15.4,0,12,2,16.7,0.78,0.13,0.00,0.00,19.8,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matchs
2075,Stefano Sensi\b70bde8f,it ITA,MT,Inter,it Serie A,26-141,1995,1.9,0,3,0,0.0,1.62,0.00,0.00,,11.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matchs
2076,Suat Serdar\b3325a30,de GER,MTAT,Hertha BSC,de Bundesliga,24-257,1997,14.0,2,22,8,36.4,1.58,0.57,0.09,0.25,17.2,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Matchs
2077,Laurens Serpe\79d60e74,it ITA,DF,Genoa,it Serie A,20-320,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2078,Janni Serra\40b58bfc,de GER,AT,Arminia,de Bundesliga,23-286,1998,3.5,1,6,2,33.3,1.73,0.58,0.17,0.50,10.0,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matchs
2079,Nicolás Serrano\2ad0e5e5,es ESP,MTAT,Athletic Club,es La Liga,18-294,2003,0.5,0,2,2,100.0,3.83,3.83,0.00,0.00,27.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matchs
2080,Zidan Sertdemir\eec1f7f4,dk DEN,ATMT,Leverkusen,de Bundesliga,16-323,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2081,Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,eng Premier League,21-220,2000,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2082,Nils Seufert\0da32a38,de GER,MT,Greuther Fürth,de Bundesliga,24-324,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2083,Salva Sevilla\75bd85ea,es ESP,MT,Mallorca,es La Liga,37-281,1984,5.9,1,9,2,22.2,1.52,0.34,0.00,0.00,26.0,3,1,1,1.2,0.4,0.04,-0.2,-0.4,Matchs
2084,Stephan El Shaarawy\d3aaad90,it ITA,DFAT,Roma,it Serie A,29-058,1992,7.2,2,24,7,29.2,3.31,0.97,0.08,0.29,18.9,0,0,0,1.7,1.7,0.07,+0.3,+0.3,Matchs
2085,Jamie Shackleton\8d03ca5a,eng ENG,DF,Leeds United,eng Premier League,22-077,1999,7.0,0,3,1,33.3,0.43,0.14,0.00,0.00,19.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
2086,Xherdan Shaqiri\6421ec64,ch SUI,AT,Lyon,fr Ligue 1,30-075,1991,6.1,1,9,3,33.3,1.46,0.49,0.11,0.33,20.0,2,0,0,0.4,0.4,0.05,+0.6,+0.6,Matchs
2087,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,eng Premier League,26-165,1995,11.1,0,3,1,33.3,0.27,0.09,0.00,0.00,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
2088,Jonjo Shelvey\3727dd3c,eng ENG,MT,Newcastle Utd,eng Premier League,29-300,1992,8.0,1,11,5,45.5,1.37,0.62,0.09,0.20,26.7,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Matchs
2089,Aimar Sher\ef301f96,se SWE,MT,Spezia,it Serie A,19-004,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2090,Eldor Shomurodov\57469b2d,uz UZB,AT,Roma,it Serie A,26-178,1995,5.6,2,16,6,37.5,2.84,1.07,0.13,0.33,11.9,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matchs
2091,Mahame Siby\6d075c67,ml MLI,MTDF,Strasbourg,fr Ligue 1,25-170,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2092,Aboubakar Sidibé\ae5b93a0,fr FRA,AT,Clermont Foot,fr Ligue 1,25-235,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2093,Djibril Sidibé\4c5b714f,fr FRA,DF,Monaco,fr Ligue 1,29-148,1992,7.8,0,3,1,33.3,0.38,0.13,0.00,0.00,22.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
2094,Kaj Sierhuis\9c2b1f11,nl NED,AT,Reims,fr Ligue 1,23-241,1998,0.9,0,2,0,0.0,2.25,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
2095,Francisco Sierralta\0f933743,cl CHI,DF,Watford,eng Premier League,24-232,1997,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2096,Arnór Sigurðsson\f209b81e,is ISL,MTAT,Venezia,it Serie A,22-223,1999,1.8,0,1,0,0.0,0.55,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matchs
2097,Kiliann Sildillia\313254a3,fr FRA,DF,Freiburg,de Bundesliga,19-222,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2098,Adrien Silva\d6f88a1d,pt POR,MT,Sampdoria,it Serie A,32-284,1989,12.0,0,8,2,25.0,0.66,0.17,0.00,0.00,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
2099,André Silva\3effaa34,pt POR,AT,RB Leipzig,de Bundesliga,26-048,1995,11.8,5,28,11,39.3,2.37,0.93,0.14,0.36,10.8,0,1,1,6.5,5.7,0.21,-1.5,-1.7,Matchs
2100,Bernardo Silva\3eb22ec9,pt POR,MT,Manchester City,eng Premier League,27-136,1994,15.9,7,23,13,56.5,1.45,0.82,0.30,0.54,10.6,0,0,0,4.0,4.0,0.18,+3.0,+3.0,Matchs
2101,Caio Henrique Oliveira Silva\30af8b93,br BRA,DF,Monaco,fr Ligue 1,24-146,1997,12.8,0,6,1,16.7,0.47,0.08,0.00,0.00,20.6,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matchs
2102,David Silva\e2716bd0,es ESP,MT,Real Sociedad,es La Liga,35-350,1986,7.8,0,9,2,22.2,1.16,0.26,0.00,0.00,19.4,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matchs
2103,Fábio Silva\e7aa9d7c,pt POR,MTAT,Wolves,eng Premier League,19-158,2002,0.5,0,1,1,100.0,2.20,2.20,0.00,0.00,10.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
2104,Gabriel Silva\4914ed4a,br BRA,DF,Saint-Étienne,fr Ligue 1,30-225,1991,2.5,0,1,0,0.0,0.40,0.00,0.00,,16.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matchs
2105,Jonathan Silva\f2308b33,ar ARG,MTDF,Getafe,es La Liga,27-178,1994,1.6,0,1,1,100.0,0.63,0.63,0.00,0.00,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
2106,Rui Silva\ea83bfa6,pt POR,GB,Betis,es La Liga,27-320,1994,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2107,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,eng Premier League,37-093,1984,13.7,2,10,4,40.0,0.73,0.29,0.20,0.50,10.7,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matchs
2108,Marco Silvestri\0d422df7,it ITA,GB,Udinese,it Serie A,30-297,1991,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2109,Mohamed Simakan\fcb27134,fr FRA,DF,RB Leipzig,de Bundesliga,21-235,2000,11.7,0,7,1,14.3,0.60,0.09,0.00,0.00,10.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matchs
2110,Giovanni Simeone\343c0d52,ar ARG,AT,Hellas Verona,it Serie A,26-172,1995,13.7,12,34,19,55.9,2.48,1.38,0.35,0.63,13.9,0,0,0,5.1,5.1,0.15,+6.9,+6.9,Matchs
2111,Giovanni Simeone\343c0d52,ar ARG,AT,Cagliari,it Serie A,26-172,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2112,Ellis Simms\26d3b5be,eng ENG,AT,Everton,eng Premier League,20-353,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2113,Moses Simon\5f3eaaf5,ng NGA,ATMT,Nantes,fr Ligue 1,26-165,1995,15.7,2,26,9,34.6,1.66,0.57,0.08,0.22,16.2,1,0,0,2.5,2.5,0.10,-0.5,-0.5,Matchs
2114,Unai Simón\5dcf3e90,es ESP,GB,Athletic Club,es La Liga,24-196,1997,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2115,Wilfried Singo\8b609c34,ci CIV,DF,Torino,it Serie A,20-364,2000,14.8,1,20,2,10.0,1.35,0.13,0.05,0.50,15.9,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matchs
2116,Daley Sinkgraven\73000a79,nl NED,DF,Leverkusen,de Bundesliga,26-173,1995,2.6,0,1,1,100.0,0.39,0.39,0.00,0.00,11.7,0,0,0,0.3,0.3,0.30,-0.3,-0.3,Matchs
2117,Salvatore Sirigu\10dc46f0,it ITA,GB,Genoa,it Serie A,34-346,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2118,Issouf Sissokho\792a9d41,ml MLI,MT,Bordeaux,fr Ligue 1,19-328,2002,3.5,0,3,2,66.7,0.86,0.58,0.00,0.00,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
2119,Ibrahima Sissoko\0f8418aa,fr FRA,MTDF,Strasbourg,fr Ligue 1,24-058,1997,12.1,1,11,3,27.3,0.91,0.25,0.09,0.33,14.0,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matchs
2120,Moussa Sissoko\2acd49b9,fr FRA,MT,Watford,eng Premier League,32-130,1989,13.8,0,10,3,30.0,0.73,0.22,0.00,0.00,20.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matchs
2121,Nelson Sissoko\12bd0579,fr FRA,DF,Saint-Étienne,fr Ligue 1,24-292,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2122,Sambou Sissoko\e4bb1f08,fr FRA,MT,Reims,fr Ligue 1,22-241,1999,1.1,0,3,0,0.0,2.65,0.00,0.00,,21.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matchs
2123,Antonio Sivera\9970da54,es ESP,GB,Alavés,es La Liga,25-135,1996,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2124,Ellyes Skhiri\c2211709,tn TUN,MT,Köln,de Bundesliga,26-228,1995,8.6,3,10,4,40.0,1.16,0.47,0.30,0.75,17.8,0,0,0,1.9,1.9,0.19,+1.1,+1.1,Matchs
2125,Oliver Skipp\6250083a,eng ENG,MT,Tottenham,eng Premier League,21-099,2000,11.8,0,2,1,50.0,0.17,0.08,0.00,0.00,26.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matchs
2126,Łukasz Skorupski\ab4449d6,pl POL,GB,Bologna,it Serie A,30-233,1991,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2127,Andreas Skov Olsen\c50cee19,dk DEN,DFAT,Bologna,it Serie A,21-360,1999,6.9,0,5,2,40.0,0.73,0.29,0.00,0.00,12.8,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matchs
2128,Robert Skov\ff98492b,dk DEN,DFAT,Hoffenheim,de Bundesliga,25-218,1996,2.7,0,8,2,25.0,2.94,0.73,0.00,0.00,14.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matchs
2129,Milan Škriniar\30f5ffa9,sk SVK,DF,Inter,it Serie A,26-316,1995,17.0,2,15,4,26.7,0.88,0.24,0.13,0.50,9.8,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matchs
2130,Islam Slimani\ffec9769,dz ALG,AT,Lyon,fr Ligue 1,33-189,1988,6.4,1,12,4,33.3,1.88,0.63,0.08,0.25,10.3,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matchs
2131,William Smallbone\5e105217,ie IRL,MT,Southampton,eng Premier League,21-306,2000,0.8,0,1,0,0.0,1.30,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matchs
2132,Chris Smalling\b6964eb6,eng ENG,DF,Roma,it Serie A,32-032,1989,7.2,2,3,2,66.7,0.41,0.28,0.67,1.00,6.0,0,0,0,0.7,0.7,0.23,+1.3,+1.3,Matchs
2133,Emile Smith-Rowe\17695062,eng ENG,MTAT,Arsenal,eng Premier League,21-149,2000,13.1,7,24,15,62.5,1.84,1.15,0.29,0.47,16.9,0,0,0,2.7,2.7,0.11,+4.3,+4.3,Matchs
2134,Cédric Soares\839c14e1,pt POR,DF,Arsenal,eng Premier League,30-115,1991,2.4,0,1,0,0.0,0.41,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
2135,Danilo Soares\c05f2f8c,br BRA,DF,Bochum,de Bundesliga,30-056,1991,16.5,0,6,0,0.0,0.36,0.00,0.00,,24.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matchs
2136,Rubén Sobrino\19b776e9,es ESP,MT,Valencia,es La Liga,29-206,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2137,Rubén Sobrino\19b776e9,es ESP,ATMT,Cádiz,es La Liga,29-206,1992,11.4,0,12,1,8.3,1.05,0.09,0.00,0.00,13.2,0,0,0,2.3,2.2,0.19,-2.3,-2.2,Matchs
2138,Augusto Solari\3ca6106c,ar ARG,MTDF,Celta Vigo,es La Liga,29-355,1992,4.2,0,4,1,25.0,0.95,0.24,0.00,0.00,29.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matchs
2139,Roberto Soldado\9d66fbe3,es ESP,AT,Levante,es La Liga,36-211,1985,4.7,0,8,4,50.0,1.69,0.84,0.00,0.00,13.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matchs
2140,Carlos Soler\fed17f5a,es ESP,MT,Valencia,es La Liga,24-356,1997,11.9,7,14,7,50.0,1.18,0.59,0.14,0.29,21.4,2,5,5,5.6,1.8,0.13,+1.4,+0.2,Matchs
2141,Yann Sommer\420c18a1,ch SUI,GB,M'Gladbach,de Bundesliga,33-007,1988,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2142,Son\037dbd30,es ESP,DF,Levante,es La Liga,27-269,1994,7.9,1,2,2,100.0,0.25,0.25,0.50,0.50,8.6,0,0,0,0.5,0.5,0.27,+0.5,+0.5,Matchs
2143,Brandon Soppy\28f66c2e,fr FRA,DFMT,Udinese,it Serie A,19-306,2002,2.4,0,3,0,0.0,1.24,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matchs
2144,David Soria\8f8c6934,es ESP,GB,Getafe,es La Liga,28-264,1993,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2145,Roberto Soriano\9d4c45d6,it ITA,MTAT,Bologna,it Serie A,30-319,1991,15.8,0,19,5,26.3,1.20,0.32,0.00,0.00,17.3,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matchs
2146,Alberto Soro\452c3055,es ESP,MTAT,Granada,es La Liga,22-290,1999,5.7,0,4,3,75.0,0.70,0.52,0.00,0.00,12.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matchs
2147,Borna Sosa\af0d79a9,hr CRO,DF,Stuttgart,de Bundesliga,23-337,1998,13.8,1,10,2,20.0,0.73,0.15,0.10,0.50,21.1,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matchs
2148,Hugo Sotelo\3aa74860,es ESP,MT,Celta Vigo,es La Liga,18-005,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2149,Florian Sotoca\7a42d0df,fr FRA,ATMT,Lens,fr Ligue 1,31-060,1990,13.1,3,30,9,30.0,2.29,0.69,0.03,0.11,15.6,0,2,2,4.8,3.3,0.11,-1.8,-2.3,Matchs
2150,Riccardo Sottil\94816803,it ITA,AT,Fiorentina,it Serie A,22-204,1999,7.5,2,15,6,40.0,2.00,0.80,0.13,0.33,15.2,0,0,0,2.1,2.1,0.14,-0.1,-0.1,Matchs
2151,Tomáš Souček\6613c819,cz CZE,MT,West Ham,eng Premier League,26-300,1995,16.9,2,27,6,22.2,1.60,0.36,0.07,0.33,12.9,0,0,0,2.4,2.0,0.08,-0.4,0.0,Matchs
2152,Matìas Soulé\c13ddd3e,ar ARG,AT,Juventus,it Serie A,18-253,2003,0.1,0,2,0,0.0,36.00,0.00,0.00,,27.2,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matchs
2153,Sambou Soumano\7cc00776,sn SEN,ATMT,Lorient,fr Ligue 1,20-355,2001,0.4,0,1,0,0.0,2.31,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matchs
2154,Adama Soumaoro\7b075c75,fr FRA,DF,Bologna,it Serie A,29-189,1992,11.3,0,6,1,16.7,0.53,0.09,0.00,0.00,7.2,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Matchs
2155,Boubakary Soumaré\ae59b359,fr FRA,MT,Leicester City,eng Premier League,22-300,1999,9.5,0,4,2,50.0,0.42,0.21,0.00,0.00,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matchs
2156,Arnaud Souquet\4e0afc5d,fr FRA,DF,Montpellier,fr Ligue 1,29-315,1992,9.2,0,6,1,16.7,0.66,0.11,0.00,0.00,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
2157,Djibril Sow\4c6facae,ch SUI,MT,Eint Frankfurt,de Bundesliga,24-321,1997,16.1,2,9,2,22.2,0.56,0.12,0.22,1.00,21.7,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matchs
2158,Saidou Sow\f6b94e8d,gn GUI,DF,Saint-Étienne,fr Ligue 1,19-173,2002,9.3,2,3,2,66.7,0.32,0.22,0.67,1.00,5.5,0,0,0,0.4,0.4,0.12,+1.6,+1.6,Matchs
2159,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,eng Premier League,25-215,1996,15.7,1,5,1,20.0,0.32,0.06,0.20,1.00,11.7,0,0,0,1.2,1.2,0.25,-0.2,-0.2,Matchs
2160,Marco Sportiello\ac4003af,it ITA,GB,Atalanta,it Serie A,29-228,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2161,Jerry St. Juste\90339309,nl NED,DF,Mainz 05,de Bundesliga,25-066,1996,4.7,0,7,2,28.6,1.49,0.42,0.00,0.00,15.6,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Matchs
2162,Anton Stach\0f59a7bf,de GER,MT,Mainz 05,de Bundesliga,23-039,1998,6.6,1,10,3,30.0,1.52,0.46,0.10,0.33,28.2,2,0,0,0.3,0.3,0.03,+0.7,+0.7,Matchs
2163,Kostas Stafylidis\861e0116,gr GRE,DF,Bochum,de Bundesliga,28-022,1993,8.4,0,12,4,33.3,1.42,0.47,0.00,0.00,27.5,3,0,0,0.4,0.4,0.03,-0.4,-0.4,Matchs
2164,Josip Stanišić\7ed08d5c,hr CRO,DF,Bayern Munich,de Bundesliga,21-266,2000,4.5,0,3,2,66.7,0.67,0.44,0.00,0.00,12.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matchs
2165,Niklas Stark\aad48be9,de GER,DF,Hertha BSC,de Bundesliga,26-254,1995,15.2,0,5,0,0.0,0.33,0.00,0.00,,13.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matchs
2166,Jason Steele\28300a16,eng ENG,GB,Brighton,eng Premier League,31-128,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2167,Jed Steer\a8a3d139,eng ENG,GB,Aston Villa,eng Premier League,29-092,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2168,Renato Steffen\dd669209,ch SUI,ATMT,Wolfsburg,de Bundesliga,30-051,1991,7.3,0,9,0,0.0,1.23,0.00,0.00,,13.9,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matchs
2169,Zack Steffen\42130443,us USA,GB,Manchester City,eng Premier League,26-266,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
2170,Calvin Stengs\8f7e6783,nl NED,MT,Nice,fr Ligue 1,23-006,1998,7.8,1,15,4,26.7,1.93,0.52,0.07,0.25,17.3,0,0,0,2.5,2.5,0.16,-1.5,-1.5,Matchs
